initial_point_key,starting_point,objective_value_20260311_ipopt_preprocess_off,cpu_time_s_20260311_ipopt_preprocess_off,termination_condition_20260311_ipopt_preprocess_off,feasible_20260311_ipopt_preprocess_off,objective_value_20260311_ipopt_preprocess_on,cpu_time_s_20260311_ipopt_preprocess_on,termination_condition_20260311_ipopt_preprocess_on,feasible_20260311_ipopt_preprocess_on
1,"(13, 4)",19346.124748130627,21.39259472116828,locallyOptimal,True,19346.124748130627,94.16719732806088,locallyOptimal,True
2,"(13, 3)",19346.124748130627,27.675668641924855,locallyOptimal,True,19346.124748130627,114.05744088813664,locallyOptimal,True
3,"(12, 4)",19346.124748130627,26.637467751279477,locallyOptimal,True,19346.124748130627,110.81410626973955,locallyOptimal,True
4,"(14, 4)",19346.124748130627,28.031822483055294,locallyOptimal,True,19346.124748130627,133.31216340884566,locallyOptimal,True
5,"(13, 5)",19346.124748130627,26.65583484247327,locallyOptimal,True,19346.124748130627,124.17764676176012,locallyOptimal,True
6,"(12, 3)",19346.124748130627,32.80046458542347,locallyOptimal,True,19346.124748130627,111.70025545917451,locallyOptimal,True
7,"(14, 3)",19346.124748130627,33.06283367797732,locallyOptimal,True,19346.124748130627,131.68356071505696,locallyOptimal,True
8,"(12, 5)",19346.124748130627,28.95926743652672,locallyOptimal,True,19346.124748130627,128.85614342894405,locallyOptimal,True
9,"(14, 5)",19346.124748130627,33.190239355899394,locallyOptimal,True,19346.124748130627,167.4266441296786,locallyOptimal,True
10,"(13, 2)",19346.124748130627,42.38797828741372,locallyOptimal,True,19346.124748130627,116.43945257924496,locallyOptimal,True
11,"(11, 4)",19346.124748130627,39.58574233949184,locallyOptimal,True,19346.124748130627,120.93566264212132,locallyOptimal,True
12,"(15, 4)",19346.124748130627,28.834439197555184,locallyOptimal,True,19346.124748130627,122.88887455500662,locallyOptimal,True
13,"(13, 6)",19346.124748130627,31.72730511520058,locallyOptimal,True,19346.124748130627,153.3394980924204,locallyOptimal,True
14,"(12, 2)",19346.124748130627,40.60213400516659,locallyOptimal,True,19346.124748130627,99.9248468382284,locallyOptimal,True
15,"(14, 2)",19346.124748130627,39.96413964778185,locallyOptimal,True,19346.124748130627,126.82082289736718,locallyOptimal,True
16,"(11, 3)",19346.124748130627,40.88259094208479,locallyOptimal,True,19346.124748130627,217.15289048664272,locallyOptimal,True
17,"(15, 3)",19346.124748130627,33.99401461798698,locallyOptimal,True,19346.124748130627,159.22108210623264,locallyOptimal,True
18,"(11, 5)",19346.124748130627,35.83041443862021,locallyOptimal,True,19346.124748130627,162.51692895498127,locallyOptimal,True
19,"(15, 5)",19346.124748130627,38.596355565823615,locallyOptimal,True,19346.124748130627,126.21971638780089,locallyOptimal,True
20,"(12, 6)",19346.124748130627,37.42393215652555,locallyOptimal,True,19346.124748130627,133.6345800422132,locallyOptimal,True
21,"(14, 6)",19346.124748130627,44.34958864469081,locallyOptimal,True,19346.124748130627,185.04854954779148,locallyOptimal,True
22,"(11, 2)",19346.124748130627,40.64188518375158,locallyOptimal,True,19346.124748130627,96.65283551905304,locallyOptimal,True
23,"(15, 2)",19346.124748130627,34.374553239904344,locallyOptimal,True,19346.124748130627,119.92448939196764,locallyOptimal,True
24,"(11, 6)",19346.124748130627,26.865409767255187,locallyOptimal,True,19346.124748130627,130.22888839710504,locallyOptimal,True
25,"(15, 6)",19346.124748130627,34.41849636286497,locallyOptimal,True,19346.124748130627,160.8572416929528,locallyOptimal,True
26,"(13, 1)",19346.124748130627,45.59354888554663,locallyOptimal,True,19346.124748130627,108.9870129469782,locallyOptimal,True
27,"(10, 4)",19346.124748130627,49.36562812048942,locallyOptimal,True,19346.124748130627,134.47475213184953,locallyOptimal,True
28,"(13, 7)",19346.124748130627,48.35970048978925,locallyOptimal,True,19346.124748130627,160.48874658346176,locallyOptimal,True
29,"(12, 1)",19346.124748130627,38.98700933717191,locallyOptimal,True,19346.124748130627,100.67600662726908,locallyOptimal,True
30,"(14, 1)",19346.124748130627,46.10455853678286,locallyOptimal,True,19346.124748130627,127.21269402559848,locallyOptimal,True
31,"(10, 3)",19346.124748130627,46.37231365311891,locallyOptimal,True,19346.124748130627,115.61530041415244,locallyOptimal,True
32,"(10, 5)",19346.124748130627,39.191631278954446,locallyOptimal,True,19346.124748130627,128.4196143373847,locallyOptimal,True
33,"(12, 7)",19346.124748130627,40.4477555481717,locallyOptimal,True,19346.124748130627,158.42829693760723,locallyOptimal,True
34,"(14, 7)",19346.124748130627,48.33336455374956,locallyOptimal,True,19346.124748130627,143.0578896459192,locallyOptimal,True
35,"(11, 1)",19346.124748130627,38.81278055626899,locallyOptimal,True,19346.124748130627,146.21901805698872,locallyOptimal,True
36,"(15, 1)",19346.124748130627,36.86319415271282,locallyOptimal,True,19346.124748130627,121.97295401617885,locallyOptimal,True
37,"(10, 2)",19346.124748130627,48.9331990648061,locallyOptimal,True,19346.124748130627,118.61308275349438,locallyOptimal,True
38,"(10, 6)",19346.124748130627,100.68667537998408,locallyOptimal,True,,6.880620175041258,unknown,False
39,"(11, 7)",,85.20293827261776,locallyOptimal,False,,15.247154070995748,unknown,False
40,"(15, 7)",19346.124748130627,54.06377438269556,locallyOptimal,True,19346.124748130627,123.99988560937344,locallyOptimal,True
41,"(9, 4)",,66.12922812253237,locallyOptimal,False,19346.124748130627,112.459155167453,locallyOptimal,True
42,"(13, 8)",19346.124748130627,53.28230347856879,locallyOptimal,True,19346.124748130627,145.579541830346,locallyOptimal,True
43,"(9, 3)",19346.124748130627,51.48706320300698,locallyOptimal,True,19346.124748130627,148.11315406113863,locallyOptimal,True
44,"(9, 5)",,84.98832911904901,locallyOptimal,False,,15.814871603623033,unknown,False
45,"(12, 8)",19346.124748130627,113.4771279077977,locallyOptimal,True,,6.81687636859715,unknown,False
46,"(14, 8)",19346.124748130627,59.63996561616659,locallyOptimal,True,19346.124748130627,128.00201642792672,locallyOptimal,True
47,"(10, 1)",19346.124748130627,38.80747770704329,locallyOptimal,True,19346.124748130627,139.06525377277285,locallyOptimal,True
48,"(10, 7)",,46.13440332282335,locallyOptimal,False,,6.92814901471138,unknown,False
49,"(9, 2)",19346.124748130627,66.41588031779975,locallyOptimal,True,19346.124748130627,143.90328181441873,locallyOptimal,True
50,"(9, 6)",,52.3940903916955,locallyOptimal,False,,6.903697676956654,unknown,False
51,"(11, 8)",,57.95335378404707,locallyOptimal,False,,6.877907651476562,unknown,False
52,"(15, 8)",19346.124748130627,46.74078605696559,locallyOptimal,True,19346.124748130627,158.9024887084961,locallyOptimal,True
53,"(9, 1)",19346.124748130627,45.96160340029746,locallyOptimal,True,19346.124748130627,117.82522539515048,locallyOptimal,True
54,"(9, 7)",,77.80894954502583,locallyOptimal,False,,6.902955019846559,unknown,False
55,"(10, 8)",19346.124748130627,109.04937173053622,locallyOptimal,True,,6.933292367495596,unknown,False
56,"(13, 9)",,91.77143764030188,locallyOptimal,False,,6.940640756860375,unknown,False
57,"(12, 9)",,62.00319374911487,locallyOptimal,False,,6.90125082526356,unknown,False
58,"(14, 9)",,70.806306399405,locallyOptimal,False,19346.124748130627,163.2008641883731,locallyOptimal,True
59,"(11, 9)",,84.30822507292032,locallyOptimal,False,,6.916005454957485,unknown,False
60,"(15, 9)",,105.42321782186627,locallyOptimal,False,,154.64456585422158,unknown,False
61,"(9, 8)",,48.54678237810731,locallyOptimal,False,,6.889294924214482,unknown,False
62,"(10, 9)",,51.592690201476216,locallyOptimal,False,,6.846449427306652,unknown,False
63,"(9, 9)",,78.90409655869007,locallyOptimal,False,,6.864020802080631,unknown,False
