initial_point_key,starting_point,objective_value_20260311_ipopt_preprocess_off,cpu_time_s_20260311_ipopt_preprocess_off,termination_condition_20260311_ipopt_preprocess_off,feasible_20260311_ipopt_preprocess_off,objective_value_20260311_ngcut_ipopt,cpu_time_s_20260311_ngcut_ipopt,termination_condition_20260311_ngcut_ipopt,feasible_20260311_ngcut_ipopt
1,"(13, 4)",19346.124748130627,21.39259472116828,locallyOptimal,True,19346.124748130627,21.80196666251868,locallyOptimal,True
2,"(13, 3)",19346.124748130627,27.675668641924855,locallyOptimal,True,19346.124748130627,28.37122806534171,locallyOptimal,True
3,"(12, 4)",19346.124748130627,26.637467751279477,locallyOptimal,True,19346.124748130627,27.147900360636413,locallyOptimal,True
4,"(14, 4)",19346.124748130627,28.031822483055294,locallyOptimal,True,19346.124748130627,28.48558961879462,locallyOptimal,True
5,"(13, 5)",19346.124748130627,26.65583484247327,locallyOptimal,True,19346.124748130627,27.35416605696082,locallyOptimal,True
6,"(12, 3)",19346.124748130627,32.80046458542347,locallyOptimal,True,19346.124748130627,33.42165781650692,locallyOptimal,True
7,"(14, 3)",19346.124748130627,33.06283367797732,locallyOptimal,True,19346.124748130627,33.675899476744235,locallyOptimal,True
8,"(12, 5)",19346.124748130627,28.95926743652672,locallyOptimal,True,19346.124748130627,29.080442246049643,locallyOptimal,True
9,"(14, 5)",19346.124748130627,33.190239355899394,locallyOptimal,True,19346.124748130627,33.494329386390746,locallyOptimal,True
10,"(13, 2)",19346.124748130627,42.38797828741372,locallyOptimal,True,19346.124748130627,42.62961767986417,locallyOptimal,True
11,"(11, 4)",19346.124748130627,39.58574233949184,locallyOptimal,True,19346.124748130627,40.078041123226285,locallyOptimal,True
12,"(15, 4)",19346.124748130627,28.834439197555184,locallyOptimal,True,19346.124748130627,31.04130416829139,locallyOptimal,True
13,"(13, 6)",19346.124748130627,31.72730511520058,locallyOptimal,True,19346.124748130627,34.33187568653375,locallyOptimal,True
14,"(12, 2)",19346.124748130627,40.60213400516659,locallyOptimal,True,19346.124748130627,41.25889134127647,locallyOptimal,True
15,"(14, 2)",19346.124748130627,39.96413964778185,locallyOptimal,True,19346.124748130627,40.18956499453634,locallyOptimal,True
16,"(11, 3)",19346.124748130627,40.88259094208479,locallyOptimal,True,19346.124748130627,40.74037155508995,locallyOptimal,True
17,"(15, 3)",19346.124748130627,33.99401461798698,locallyOptimal,True,19346.124748130627,33.76928860321641,locallyOptimal,True
18,"(11, 5)",19346.124748130627,35.83041443862021,locallyOptimal,True,19346.124748130627,35.93850913643837,locallyOptimal,True
19,"(15, 5)",19346.124748130627,38.596355565823615,locallyOptimal,True,19346.124748130627,38.64820792339742,locallyOptimal,True
20,"(12, 6)",19346.124748130627,37.42393215652555,locallyOptimal,True,19346.124748130627,36.64790656045079,locallyOptimal,True
21,"(14, 6)",19346.124748130627,44.34958864469081,locallyOptimal,True,19346.124748130627,45.13798551540822,locallyOptimal,True
22,"(11, 2)",19346.124748130627,40.64188518375158,locallyOptimal,True,19346.124748130627,41.02787946537137,locallyOptimal,True
23,"(15, 2)",19346.124748130627,34.374553239904344,locallyOptimal,True,19346.124748130627,33.298217460513115,locallyOptimal,True
24,"(11, 6)",19346.124748130627,26.865409767255187,locallyOptimal,True,19346.124748130627,29.005578259937465,locallyOptimal,True
25,"(15, 6)",19346.124748130627,34.41849636286497,locallyOptimal,True,19346.124748130627,36.865273332223296,locallyOptimal,True
26,"(13, 1)",19346.124748130627,45.59354888554663,locallyOptimal,True,19346.124748130627,47.51521574053913,locallyOptimal,True
27,"(10, 4)",19346.124748130627,49.36562812048942,locallyOptimal,True,19346.124748130627,47.55341696925461,locallyOptimal,True
28,"(13, 7)",19346.124748130627,48.35970048978925,locallyOptimal,True,19346.124748130627,48.74439067393541,locallyOptimal,True
29,"(12, 1)",19346.124748130627,38.98700933717191,locallyOptimal,True,19346.124748130627,41.53241991158575,locallyOptimal,True
30,"(14, 1)",19346.124748130627,46.10455853678286,locallyOptimal,True,19346.124748130627,46.66322586685419,locallyOptimal,True
31,"(10, 3)",19346.124748130627,46.37231365311891,locallyOptimal,True,19346.124748130627,43.47929784841836,locallyOptimal,True
32,"(10, 5)",19346.124748130627,39.191631278954446,locallyOptimal,True,19346.124748130627,38.472711401060224,locallyOptimal,True
33,"(12, 7)",19346.124748130627,40.4477555481717,locallyOptimal,True,19346.124748130627,41.224752409383655,locallyOptimal,True
34,"(14, 7)",19346.124748130627,48.33336455374956,locallyOptimal,True,19346.124748130627,46.78398277610541,locallyOptimal,True
35,"(11, 1)",19346.124748130627,38.81278055626899,locallyOptimal,True,19346.124748130627,38.58384975418448,locallyOptimal,True
36,"(15, 1)",19346.124748130627,36.86319415271282,locallyOptimal,True,19346.124748130627,35.00677572470158,locallyOptimal,True
37,"(10, 2)",19346.124748130627,48.9331990648061,locallyOptimal,True,19346.124748130627,46.17058905214071,locallyOptimal,True
38,"(10, 6)",19346.124748130627,100.68667537998408,locallyOptimal,True,19346.124748130627,102.18863491620868,locallyOptimal,True
39,"(11, 7)",,85.20293827261776,locallyOptimal,False,,84.62209055013955,locallyOptimal,False
40,"(15, 7)",19346.124748130627,54.06377438269556,locallyOptimal,True,19346.124748130627,44.93402200099081,locallyOptimal,True
41,"(9, 4)",,66.12922812253237,locallyOptimal,False,,64.07294064946473,locallyOptimal,False
42,"(13, 8)",19346.124748130627,53.28230347856879,locallyOptimal,True,19346.124748130627,48.2103788824752,locallyOptimal,True
43,"(9, 3)",19346.124748130627,51.48706320300698,locallyOptimal,True,19346.124748130627,53.37549661193043,locallyOptimal,True
44,"(9, 5)",,84.98832911904901,locallyOptimal,False,,84.05768590793014,locallyOptimal,False
45,"(12, 8)",19346.124748130627,113.4771279077977,locallyOptimal,True,19346.124748130627,112.87219425383957,locallyOptimal,True
46,"(14, 8)",19346.124748130627,59.63996561616659,locallyOptimal,True,19346.124748130627,59.437885612249374,locallyOptimal,True
47,"(10, 1)",19346.124748130627,38.80747770704329,locallyOptimal,True,19346.124748130627,36.351943160407245,locallyOptimal,True
48,"(10, 7)",,46.13440332282335,locallyOptimal,False,,45.62297948822379,locallyOptimal,False
49,"(9, 2)",19346.124748130627,66.41588031779975,locallyOptimal,True,19346.124748130627,60.25107302609831,locallyOptimal,True
50,"(9, 6)",,52.3940903916955,locallyOptimal,False,,52.02612852118909,locallyOptimal,False
51,"(11, 8)",,57.95335378404707,locallyOptimal,False,,53.62628710269928,locallyOptimal,False
52,"(15, 8)",19346.124748130627,46.74078605696559,locallyOptimal,True,19346.124748130627,47.743542772717774,locallyOptimal,True
53,"(9, 1)",19346.124748130627,45.96160340029746,locallyOptimal,True,19346.124748130627,46.46029491629452,locallyOptimal,True
54,"(9, 7)",,77.80894954502583,locallyOptimal,False,,81.95506859850138,locallyOptimal,False
55,"(10, 8)",19346.124748130627,109.04937173053622,locallyOptimal,True,19346.124748130627,108.68742303736508,locallyOptimal,True
56,"(13, 9)",,91.77143764030188,locallyOptimal,False,,89.44929199013859,locallyOptimal,False
57,"(12, 9)",,62.00319374911487,locallyOptimal,False,,56.85107976477593,locallyOptimal,False
58,"(14, 9)",,70.806306399405,locallyOptimal,False,,71.40291469171643,locallyOptimal,False
59,"(11, 9)",,84.30822507292032,locallyOptimal,False,,84.24175292626023,locallyOptimal,False
60,"(15, 9)",,105.42321782186627,locallyOptimal,False,,100.45274746790528,locallyOptimal,False
61,"(9, 8)",,48.54678237810731,locallyOptimal,False,,48.593032822944224,locallyOptimal,False
62,"(10, 9)",,51.592690201476216,locallyOptimal,False,,51.32647540513426,locallyOptimal,False
63,"(9, 9)",,78.90409655869007,locallyOptimal,False,,73.64259895402938,locallyOptimal,False
